,KI,LHN2,ACT,CBL,RWR,MFI
karate club,0.7552185004436558,0.6104517894114168,0.6661897367642708,0.7358030168589175,0.6199552647145815,0.7487152469683525
pajek football,0.7245981830887491,0.5214839318612904,0.7476812146623467,0.5969681087605616,0.7466655549202719,0.6799822120576838
pajek_us_air,0.9197367896135837,,0.8918506568788637,0.904232286359955,0.8320916071875566,0.9127494401041261
